study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_pre,timepoint_distance,mean,sd,change,change_sd,ri,yi,vi,yi_d,vi_d,sei_d
Janani_2020,Janani_2020,2020,India,1208,18.2,4,combined,Body mass (kg),64.8,13,3,15.2,67.9,12.9,NA,NA,0.9,0.04673043120642153,6.40389531344024e-6,0.0030743704741066796,2.7717690934211568e-8,1.66486308548816e-4
Janani_2020,Janani_2020,2020,India,1208,18.2,4,combined,BMI,25.4,7.2,3,15.2,26.8,7.8,NA,NA,0.9,0.05365271349232022,1.3706652198098446e-5,0.003529783782389488,5.9325883821409476e-8,2.435690534969693e-4
Karikis_2016,Karikis_2016,2016,USA,78,0,NA,combined,BMI,NA,NA,NA,NA,25.2,3.1,NA,NA,0.9,NA,NA,NA,NA,NA
Karikis_2016,Karikis_2016,2016,USA,85,64,4.2,combined,BMI,25.2,3.1,0,64,25.3,2.8,NA,NA,0.9,0.003960401216096914,3.382651465961092e-5,6.188126900151429e-5,8.258426430569072e-9,9.08758847581088e-5
Lau_2024,Lau_2024,2024,USA,40,0,NA,Group 1,Body mass (kg),NA,NA,NA,NA,71.4,14.5,NA,NA,0.9,NA,NA,NA,NA,NA
Lau_2024,Lau_2024,2024,USA,40,0,NA,Group 1,BMI,NA,NA,NA,NA,24.9,4.3,NA,NA,0.9,NA,NA,NA,NA,NA
Lau_2024,Lau_2024,2024,USA,34,2,NA,Group 1,Body mass (kg),71.4,14.5,0,2,72.5,16.3,NA,NA,0.9,0.015288692515090336,2.8248695767395336e-4,0.007644346257545168,7.062173941848834e-5,0.00840367416184661
Lau_2024,Lau_2024,2024,USA,34,2,NA,Group 1,BMI,24.9,4.3,0,2,25.2,5,NA,NA,0.9,0.01197619104671562,2.2101252989166291e-4,0.00598809552335781,5.525313247291573e-5,0.0074332450836035084
Lau_2024,Lau_2024,2024,USA,37,4,NA,Group 1,Body mass (kg),72.5,16.3,2,2,73.8,16.5,NA,NA,0.9,0.017772169745797668,2.717521466516497e-4,0.008886084872898834,6.793803666291242e-5,0.008242453315786049
Lau_2024,Lau_2024,2024,USA,37,4,NA,Group 1,BMI,25.2,5,2,2,25.7,5,NA,NA,0.9,0.01964699738379642,2.0906052340867324e-4,0.00982349869189821,5.226513085216831e-5,0.007229462694569238
